" important for async scenario we must remove context from current thread so we always createnew rpccontext for  next invoke for  same thread	 ",positive
" nonjavadoc see javasqlpreparedstatement setblobint javasqlblob 	 ",negative
" partitioncolsaddschemagetname	 ",negative
" don t log  exception people just get confused	 ",negative
" if its not an internal name this is what we want	 ",negative
" we will adjust start  end so that we could record  metrics save  originals	 ",negative
" prevent excessive logging in case of deadlocks or slowness	 ",negative
" allow implicit string to date conversion	 ",negative
" close  underlying connection pool to avoid leaks	 ",negative
" v since left integer is always some products here are not included	 ",negative
" write byte to say wher to skip pruning or not	 ",negative
" that uniont null is converted to just t withinmap	 ",negative
" tracks hivequeryid by queryidentifier this can only be set when config is parsed in tezprocessor all  or existing code passes queryid equal to everywhere if we switch  runtime  move to parsing  payload in  am  actual hive queryid could	 ",negative
" make rightchild of left	 ",negative
" tests for partition appendpartitionstring tablename string dbname list string partvals method	 ",negative
" schema group	 ",negative
" locality information before those without locality information	 ",negative
" test basic right trim  truncate to vector	 ",negative
" check if map side aggregation is possible or not based on column stats	 ",negative
" vectorization enabled	 ",negative
" collect operator to observe  output of  script	 ",negative
" udtf	 ",negative
" we ve already set this one up need to clone for  next work	 ",negative
" zookeeper property name to pick  correct jaas conf section	 ",negative
" body	 ",negative
" newoutput is  index of  cor var in  referenced position list plus  offset of referenced position list of	 ",negative
" convert an integer value representingtimestamp in nanoseconds to one that representstimestamp in seconds with fraction since  epoch 	 ",negative
" position in file where  first row in this block starts	 ",negative
" re should be no adjustments for leap seconds	 ",negative
" fifo policy doesn t care	 ",negative
" note this behavior may have to change if we ever implementvectorized merge join	 ",negative
" logdebugvectormapjoinfastlonghashtable add key key slot slot pairindex pairindex empty slot i i 	 ",negative
" we keep  columns only  columns that are part of  final output	 ",negative
" verify mergeonlytask is not optimized	 ",negative
" bail out nothing to do	 ",negative
" if it is not an external table n create one	 ",negative
" construct joinleafpredicateinfo	 ",negative
" first change  filter condition intojoin condition	 ",negative
" no need to makemetastore call	 ",negative
" don t drop notification log sequence table  notification sequence as its used by or table which are not txn related to generate primary key so if se tables are dropped  or tables are not dropped n it will create key duplicate error while inserting to or table 	 ",negative
" division with overflowzerodivide check error produces null output	 ",negative
" createfilesinkoperator for  file name of tasktmpdir	 ",negative
" vectoraggregateexpression vectoraggregateexpressionvectoraggregationdesc vecaggrdesc aggregationbuffer getnewaggregationbuffer void aggregateinputaggregationbuffer agg vectorizedrowbatch unit void aggregateinputselectionvectoraggregationbufferrow aggregationbuffersets int aggregateindex vectorizedrowbatch vrg void resetaggregationbuffer agg long getaggregationbufferfixedsize boolean matchesstring name columnvectortype inputcolvectortype columnvectortype outputcolvectortype mode mode assignrowcolumnvectorizedrowbatch batch int batchindex int columnnum aggregationbuffer agg 	 ",negative
" this is called eir with an error that was queued or an error that was set into  atomic reference in this class  latter is besteffort  is used to opportunistically skip processing oflong queue when  error happens	 ",negative
" check for aborted txns	 ",negative
" make sure y are  same before  after compaction	 ",negative
" note  power is multiply by 	 ",negative
" setting success to false to make sure that if  listener fails rollback happens	 ",negative
" todo factor security manager into pipeline todo factor out encodedecode to permit binary shuffle todo factor out decode of index to permit alt models	 ",negative
" check fornested message if found set  schema else return	 ",negative
" analyze table t partition compute statistics  plan consists ofsimple mapredtask followed bystatstask  mr task is justsimple tablescanoperator	 ",negative
" refering to sqloperationjava re is no chance thathivesqlexception throws   async background operation submits to thread pool successfully at  same time so cleanup ophle directly when got hivesqlexception	 ",negative
" todo define groups in regex  use parseintmatchergroup 	 ",negative
